ID,Number,From,To,WaitToBoard,TotalTime
0,3,5,4,29,41
1,6,5,2,29,62
9,4,3,0,32,59
3,4,0,1,74,86
8,2,0,2,65,88
2,1,0,4,78,117
4,1,0,4,71,110
7,3,2,4,90,105
5,1,4,5,111,122
6,4,4,5,107,118
10,1,4,5,9,21
12,1,4,5,4,16
14,6,4,5,1,13
11,3,5,0,23,53
13,4,0,5,50,81
16,5,3,1,14,30
15,3,1,5,32,57
17,2,4,0,9,39
22,3,2,0,14,29
23,2,0,2,31,57
19,6,0,3,38,75
18,3,2,4,68,89
20,4,0,5,35,93
24,6,0,1,117,129
21,4,1,2,138,149
25,1,0,4,114,155
26,3,1,3,19,36
29,4,1,5,11,45
30,6,3,5,27,43
28,6,0,1,82,95
27,6,0,2,82,106
31,2,4,5,14,25
32,3,4,5,10,21
36,1,5,1,17,58
35,4,5,0,18,70
37,5,5,0,16,68
41,2,5,0,7,59
40,3,0,5,67,103
33,6,2,5,94,115
34,6,3,0,129,162
39,4,2,0,131,153
38,5,1,0,144,155
42,4,5,2,29,51
43,3,5,0,28,66
45,3,0,5,63,99
44,5,4,5,89,100
47,4,0,1,29,40
46,2,1,4,42,62
50,1,0,5,25,69
48,2,4,5,61,71
49,3,1,0,96,106
51,6,0,1,3,14
56,2,1,4,3,29
53,5,3,4,28,39
54,2,4,5,38,48
52,5,3,0,68,94
55,2,2,0,71,86
57,5,0,4,84,110
58,6,0,5,24,62
63,5,0,5,14,52
66,2,2,5,22,42
60,4,5,1,60,99
59,1,5,0,64,115
62,2,5,0,58,109
64,4,4,0,65,104
61,4,2,0,86,109
65,5,1,0,114,125
70,3,0,1,0,11
68,5,0,3,3,37
69,2,2,4,25,47
67,3,0,5,3,58
74,2,2,5,12,44
75,5,5,4,43,55
76,4,3,2,62,74
72,2,5,1,51,97
71,2,3,1,74,97
73,1,3,0,73,107
78,1,0,3,0,23
77,4,0,5,3,41
79,5,0,5,0,38
81,5,3,1,47,63
80,3,0,1,78,88
82,4,0,3,9,30
83,1,5,1,44,81
85,3,3,1,60,76
84,4,4,0,50,90
86,2,3,0,58,87
87,5,1,0,73,84
88,3,0,1,3,15
91,4,0,1,2,14
90,2,0,3,2,37
89,6,2,4,27,48
92,2,3,0,56,76
93,4,2,5,14,35
95,3,5,4,29,39
96,5,0,1,64,77
94,6,0,3,68,97
99,1,0,1,111,128
97,6,0,3,114,146
98,6,0,4,114,157
100,5,0,1,176,187
103,2,5,0,27,57
101,2,0,1,61,71
102,1,0,2,60,80
104,4,0,1,14,31
106,3,0,2,9,37
105,2,0,3,13,51
107,5,0,4,8,58
111,6,3,5,40,63
110,3,4,5,54,64
108,6,5,1,73,99
109,4,0,1,108,119
116,4,0,1,0,13
113,3,0,3,6,36
115,4,0,4,3,45
112,4,0,5,9,62
114,5,3,5,37,59
117,6,4,5,9,20
121,4,2,0,34,56
122,3,1,0,43,54
126,1,1,0,36,47
119,2,0,1,64,81
124,1,0,2,54,82
123,3,1,2,75,85
118,5,0,3,64,103
120,6,0,4,60,112
125,4,3,5,93,115
127,2,0,5,144,174
129,2,5,1,19,46
130,2,5,0,17,54
133,4,5,0,12,49
131,4,0,1,53,69
134,4,0,1,50,66
132,3,0,3,52,85
128,1,0,5,60,110
136,4,3,5,80,96
135,6,0,5,131,165
137,3,0,5,126,160
138,5,0,5,122,156
140,1,2,0,23,44
147,6,1,0,13,24
145,6,1,4,44,75
144,2,2,5,59,90
143,3,5,4,91,102
146,1,5,0,83,119
148,4,3,5,19,35
149,3,5,4,37,47
152,3,0,1,67,80
155,5,0,2,58,83
151,4,0,4,68,109
150,6,1,5,83,121
153,2,1,2,141,153
154,5,1,4,137,164
156,3,1,4,19,46
160,2,3,4,30,40
158,6,1,5,16,54
159,2,0,1,84,95
157,4,0,2,85,106
164,2,0,1,11,24
165,3,0,2,10,33
161,2,0,4,14,52
163,3,0,5,11,59
168,1,5,4,53,63
162,4,1,0,91,102
167,3,0,1,97,110
166,6,0,3,98,126
169,2,0,3,92,120
170,6,0,2,142,158
171,3,1,5,9,34
172,5,4,0,44,70
173,5,0,2,3,26
174,2,0,3,0,33
176,4,1,5,8,45
177,5,5,0,46,90
178,3,5,0,46,90
179,6,5,0,46,90
181,2,0,4,89,114
180,6,3,2,127,138
175,2,1,0,155,165
182,1,5,0,29,65
184,4,5,0,24,60
186,2,1,0,47,57
185,3,0,1,61,74
183,4,0,2,64,89
189,3,0,3,60,96
188,6,1,3,74,96
187,2,4,5,108,118
194,2,2,1,10,21
190,3,2,0,19,42
193,6,1,0,23,34
191,5,0,1,43,57
197,5,0,1,29,43
199,1,0,1,24,38
196,4,0,2,30,59
198,6,1,4,45,72
195,3,4,5,79,89
192,1,4,2,106,121
200,2,3,5,9,24
203,1,0,1,46,59
201,5,0,2,51,75
204,4,0,2,43,67
206,1,0,4,41,87
202,3,1,5,62,104
205,2,3,5,77,97
207,1,5,4,3,13
208,2,5,0,19,49
209,4,5,0,29,66
210,2,5,0,29,66
211,4,2,0,46,62
212,2,3,5,85,100
214,3,0,1,28,40
216,6,1,2,39,51
222,2,1,3,31,54
215,1,0,4,26,72
213,4,0,5,29,85
217,1,0,5,25,81
221,3,5,0,77,119
220,3,4,0,90,122
218,5,1,0,112,124
219,3,1,0,112,124
223,1,0,3,3,23
224,1,4,5,29,39
228,4,5,0,32,63
226,3,0,1,69,81
225,1,0,3,71,98
227,5,0,4,68,105
230,3,5,0,9,46
232,3,5,0,5,42
234,4,1,0,26,37
233,2,0,1,44,56
231,3,0,2,48,70
229,4,0,5,50,92
236,3,2,0,19,34
235,1,0,2,35,50
237,5,2,0,3,25
240,4,1,0,9,20
244,4,0,3,10,37
239,6,3,4,53,64
241,3,0,5,22,73
242,1,2,5,35,69
238,1,4,2,87,102
243,3,2,0,92,107
246,2,5,2,27,61
253,5,5,1,13,58
251,1,4,1,33,64
245,5,5,0,29,85
249,2,5,0,22,78
252,4,0,1,75,86
247,5,2,4,108,124
254,3,4,5,109,119
250,1,3,1,146,167
248,5,2,0,160,181
256,2,0,1,10,21
258,3,0,2,7,30
255,5,1,5,25,56
257,4,1,0,78,89
259,2,1,5,9,40
260,4,4,5,29,40
262,2,4,2,47,62
261,3,0,2,79,96
263,5,0,5,76,113
265,4,0,1,29,41
264,4,0,5,29,67
269,2,0,1,23,37
270,1,0,4,20,54
271,5,0,4,16,50
272,2,0,4,15,49
266,2,0,5,29,75
267,2,0,5,29,75
268,1,2,1,98,108
274,6,4,0,67,103
273,3,0,4,106,131
275,6,2,0,14,30
276,1,0,1,30,40
277,3,4,1,58,78
278,3,3,0,14,36
279,5,3,0,10,32
280,4,0,5,35,66
281,3,5,4,66,77
283,2,5,0,61,99
282,3,4,0,75,101
284,1,4,0,73,99
285,1,4,5,24,34
293,3,5,0,16,57
290,5,2,0,45,66
287,2,1,0,62,72
288,2,0,2,72,94
289,6,2,4,93,114
286,3,1,5,86,131
292,6,1,5,74,119
291,3,3,4,140,150
296,5,0,1,22,36
297,3,0,1,21,35
294,6,0,4,24,60
299,2,5,1,67,98
295,4,4,0,79,110
300,5,0,1,107,119
298,4,0,4,111,144
301,5,0,1,24,37
303,2,0,1,22,35
306,3,0,5,16,58
304,4,1,5,35,61
302,3,2,1,86,98
305,5,2,1,82,94
307,6,0,2,104,122
308,4,0,4,102,136
309,2,3,4,9,19
311,6,4,1,15,36
