ID,Number,From,To,WaitToBoard,TotalTime
0,1,0,5,3,33
1,1,1,4,23,43
2,1,2,0,13,28
3,1,3,1,18,33
4,1,0,3,8,28
5,1,1,2,13,23
6,1,0,3,13,38
7,1,1,3,21,36
8,1,1,0,51,61
13,1,3,2,48,58
12,1,4,1,38,68
11,1,5,0,28,78
9,1,1,4,88,113
10,1,2,5,98,123
16,1,0,1,28,38
15,1,2,4,48,63
14,1,4,5,64,74
17,1,4,2,84,104
18,1,3,0,94,119
19,1,0,2,3,18
20,1,0,3,13,33
21,1,5,3,48,63
22,1,4,0,8,33
23,1,1,2,43,53
25,1,0,2,13,28
24,1,4,2,43,58
26,1,2,4,3,18
27,1,0,4,43,68
28,1,4,1,3,23
29,1,0,3,33,58
30,1,1,3,43,58
31,1,3,5,3,18
32,1,4,1,28,53
33,1,2,0,43,63
34,1,0,3,3,23
36,1,3,5,3,18
35,1,3,0,33,53
